Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,longitude,latitude,easting,northing,height,speed,yaw,pitch,roll
1622864307.9693754,580940,1622864307,940000057,map,121.17661306658,31.27998577569,243.80508834449574,-305.0035326615907,0.0,13.295378684997559,2.3830461595836083,0.0,0.0
1622864307.9792786,580941,1622864307,950000048,map,121.1766120348,31.27998658361,243.70833466539625,-304.91234613442793,0.0,13.297224998474121,2.382889405070862,0.0,0.0
1622864307.9896586,580942,1622864307,960000038,map,121.17661100194,31.27998739264,243.61148019321263,-304.8210348566063,0.0,13.304256439208984,2.382727838894807,0.0,0.0
1622864307.9988167,580943,1622864307,970000029,map,121.17660996964,31.27998820147,243.51467867591418,-304.729746629484,0.0,13.308719635009766,2.3825541370430376,0.0,0.0
1622864308.008597,580944,1622864307,980000019,map,121.17660893755,31.27998901064,243.41789777646773,-304.63842104095966,0.0,13.308353424072266,2.3823985169419446,0.0,0.0
1622864308.0185797,580945,1622864307,990000010,map,121.17660790559,31.27998981982,243.32112927362323,-304.5470945481211,0.0,13.306649208068848,2.3822308242064296,0.0,0.0
1622864308.0282583,580946,1622864308,0,map,121.1766068731,31.27999062934,243.2243109344272,-304.45572952833027,0.0,13.309487342834473,2.382040721984372,0.0,0.0
1622864308.0449367,580947,1622864308,9999990,map,121.1766058399,31.27999143873,243.127424760547,-304.36437780130655,0.0,13.318734169006348,2.381814271465499,0.0,0.0
1622864308.0564582,580948,1622864308,19999981,map,121.1766048075,31.27999224854,243.03061552450527,-304.2729807733558,0.0,13.31679630279541,2.3815572807914007,0.0,0.0
1622864308.073598,580949,1622864308,29999971,map,121.17660377486,31.27999305899,242.93378461361863,-304.18151241820306,0.0,13.320650100708008,2.381331537776646,0.0,0.0
1622864308.0787106,580950,1622864308,39999962,map,121.17660274409,31.27999387065,242.83713396504754,-304.0899128704332,0.0,13.325204849243164,2.380995687472077,0.0,0.0
